"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"1133","DVN","N","Midday",0.0113522071405437,55.018411027829,0.0140353199211977,149487,"N"
"1136","DVN","P","Midday",0.00902303318870529,55.0308044651132,0.0138085281776071,73146,"N"
"1139","DVN","Q","Midday",0.00812187370347099,55.0298311256924,0.01304432512061,159415,"N"
"1141","DVN","W","Midday",0.0167964453836089,55.0999027733664,0.0167964453836089,11400,"N"
"1142","DVN","X","Midday",0.0200004577636719,54.7799987792969,0.0200004577636719,100,"N"
"1145","DVN","Y","Midday",0.0141151225672359,55.0399778079143,0.0150442545392872,27153,"N"
"1148","DVN","Z","Midday",0.00730389726725411,55.035912825732,0.0129749273347899,114431,"N"
"1154","EBAY","A","Midday",0.0085529277199193,56.4395396332992,0.00842127047087017,19100,"Q"
"1157","EBAY","B","Midday",0.00875175707267992,56.3158969254927,0.00953945275508996,100984,"Q"
"1160","EBAY","C","Midday",0.00973791825143915,56.4240791923121,0.00894807514391447,4055,"Q"
"1166","EBAY","J","Midday",0.00906548428176036,56.3935629264793,0.00899509449100974,117643,"Q"
"1169","EBAY","K","Midday",0.00865871328056057,56.389657470475,0.00833058278029939,381375,"Q"
"1170","EBAY","M","Midday",0.00999832153320312,56.5699996948242,0.00999832153320312,1000,"Q"
"1173","EBAY","P","Midday",0.00749152511212515,56.3960687035863,0.00777580262612355,960663,"Q"
"1176","EBAY","Q","Midday",0.00820933227745297,56.3901276547354,0.00881911024972381,1016806,"Q"
"1179","EBAY","W","Midday",0.0101150644236598,56.4192530971834,0.00988517410453709,26500,"Q"
"1182","EBAY","X","Midday",0.00829769702667886,56.3955320804677,0.00872331984499668,5700,"Q"
"1185","EBAY","Y","Midday",0.00932954838255056,56.3675656554998,0.00924203277676863,100013,"Q"
"1188","EBAY","Z","Midday",0.00808769586786003,56.3890536292125,0.00856034400524783,750703,"Q"
"1194","EMC","B","Midday",0.00937428394509427,23.7660837013628,0.00978760959049843,120748,"N"
"1196","EMC","C","Midday",0.0103224477460307,23.7835481705204,0.00967727168913811,5174,"N"
"1202","EMC","J","Midday",0.00927979196718735,23.7635782317657,0.00971483057455648,227663,"N"
"1205","EMC","K","Midday",0.00839387937579923,23.7675190245099,0.00868026265098006,369488,"N"
"1208","EMC","N","Midday",0.00919379896790017,23.7698540127004,0.00948844793188663,871084,"N"
"1211","EMC","P","Midday",0.00778553225250862,23.7682468151757,0.00935615740324322,588451,"N"
