Row Labels;B;C;D;J;K;M;P;Q;W;X;Y;Z
USO;300;;9231;3833;;;19395;3037;;1200;2700;5063
USV;;;1000;;;;;100;;;;
UUP;800;;30197;1300;;;;100;;;1600;
UVU;;;100;;;;;;;;;
UVXY;23700;;497281;10250;75890;;31512;53723;;5200;12350;27017
UWM;100;;4039;;741;;132;469;;;;2500
UYG;;;1315;;;;400;;;;;300
UYM;;;9287;100;700;;700;400;;;100;300
VAW;;;250;100;;;857;;;;100;400
VB;;;4646;100;100;;2075;1100;;;;100
VBK;;;280;;;;100;;;;;
VBR;;;1011;200;200;;639;;;;;
VCR;;;;;;;;;;;;400
VDC;100;;4751;508;300;;3096;709;;;;400
VDE;;;200;100;;;;;;;;
VEA;2757;;11756;5614;3400;;16571;8903;;200;5528;13598
VEU;;;3654;;100;;3690;1000;;;;2400
VFH;;;3100;300;;;1095;;;;;1200
VGK;100;;4356;100;300;;3277;100;;;;400
VGT;100;;1500;700;475;;2712;200;;;;800
VHT;;;10793;100;;;100;400;;;;100
VIG;;;4082;300;;;1004;1725;;;;200
VIIX;1000;;;100;;;338;463;;200;100;
VIXM;100;;600;;;;;;;;;
VIXY;3200;;10932;100;2000;;2900;1655;;1100;;6600
VNM;;;3045;200;400;;8500;;;;100;200
VNQ;543;;8147;400;300;;4012;632;;;100;800
VO;;;511;;;;;100;;;;
VOE;;;599;;300;;;;;;;
VOO;;;13260;;2091;;5822;1900;;1100;1300;2326
VOT;;;920;;;;;;;;;
VOX;;;2600;;976;;2791;;;;;
VPL;200;;12658;300;;;6700;800;;;;1100
VPU;100;;3016;;761;;571;;;;;100
VRD;;;780;;;;;;;;;
VT;100;;7350;1000;;;7707;400;;;;400
VTI;;;17662;;1300;;5208;440;;;;2180
VTV;;;1228;;500;;485;;;;;
VUG;;;1897;;;;895;;;;;2863
VV;;;2511;;;;700;;;;;
VWO;800;250;31106;10290;7816;;78204;61981;;100;20548;41653
VXF;;;600;;;;150;;;;;
VXZ;100;;2637;;;;100;300;;;;200
VYM;;100;6475;500;;;200;;;;;
WDTI;;;401;;;;;;;;;
WEAT;;;;;;;700;;;;;
WEET;;;;;;;;;;;;100
WIP;;;400;;;;100;;;;;
WITE;;;350;;;;;;;;;
XBI;;;22423;909;2850;;9919;800;;100;;1342
XES;;;5101;500;1400;;1400;1200;100;;;1600
XHB;300;;66429;7200;4800;;37421;24505;;;900;17000
XHS;;;;;100;;;;;;;
XIV;1300;2600;100843;4400;24010;;6999;15421;;2100;3600;30092
XLB;1300;;29350;1700;17408;;38284;47514;;400;200;46760
XLE;6000;;49244;8401;30852;;43875;63579;300;1800;4500;63053
